"","model","year","price","transmission","mileage","fuelType","tax","mpg","engineSize"
"149"," T-Roc",2019,17999,"Manual",8000,"Petrol",145,44.1,1
"150"," T-Roc",2020,25999,"Manual",5000,"Petrol",145,44.1,1.5
"151"," T-Roc",2019,21799,"Manual",4693,"Diesel",145,46.3,2
"152"," T-Roc",2018,19999,"Manual",20645,"Petrol",145,53.3,1.5
"153"," T-Roc",2018,19999,"Manual",6108,"Petrol",145,53.3,1.5
"154"," T-Roc",2020,20499,"Manual",501,"Petrol",145,44.1,1
"155"," T-Roc",2018,19499,"Manual",25380,"Diesel",150,56.5,2
"156"," T-Roc",2018,20499,"Manual",10202,"Petrol",145,53.3,1.5
"157"," T-Roc",2018,17999,"Manual",23374,"Petrol",145,53.3,1.5
"158"," T-Roc",2019,22995,"Automatic",5000,"Petrol",145,39.8,1.5
"159"," T-Roc",2019,22495,"Semi-Auto",2860,"Petrol",145,39.8,1.5
"160"," T-Roc",2018,21995,"Manual",19476,"Petrol",150,42.2,1.5
"161"," T-Roc",2018,17899,"Manual",11398,"Petrol",145,53.3,1.5
"162"," T-Roc",2018,16999,"Manual",8074,"Petrol",145,55.4,1
"163"," T-Roc",2018,16999,"Manual",11877,"Petrol",145,55.4,1
"164"," T-Roc",2018,16999,"Manual",17506,"Petrol",145,55.4,1
"165"," T-Roc",2020,27499,"Semi-Auto",3000,"Petrol",145,39.8,1.5
"166"," T-Roc",2018,22798,"Semi-Auto",8690,"Petrol",145,41.5,2
"167"," T-Roc",2018,18999,"Manual",21800,"Petrol",145,53.3,1.5
"168"," T-Roc",2019,19995,"Manual",4407,"Diesel",145,50.4,1.6
"169"," T-Roc",2018,16799,"Manual",16817,"Petrol",145,55.4,1
"170"," T-Roc",2019,27499,"Automatic",6000,"Diesel",145,49.6,2
"171"," T-Roc",2018,21495,"Manual",9287,"Petrol",145,53.3,1.5
"172"," T-Roc",2018,19995,"Manual",9600,"Petrol",150,53.3,1.5
"173"," T-Roc",2019,21495,"Manual",5032,"Diesel",145,50.4,2
"174"," T-Roc",2018,16999,"Manual",14058,"Petrol",145,44.1,1
"175"," T-Roc",2018,23799,"Semi-Auto",6532,"Petrol",145,41.5,2
"176"," T-Roc",2019,21290,"Manual",1780,"Diesel",145,50.4,1.6
"177"," T-Roc",2018,19290,"Manual",2750,"Petrol",145,53.3,1.5
"178"," T-Roc",2020,26000,"Manual",10,"Petrol",145,44.1,1.5
"179"," T-Roc",2019,19445,"Manual",11372,"Diesel",150,50.4,1.6
"180"," T-Roc",2018,16899,"Manual",20010,"Petrol",145,44.1,1
"181"," T-Roc",2018,19800,"Manual",24093,"Petrol",145,53.3,1.5
"182"," T-Roc",2018,17499,"Manual",14944,"Petrol",145,53.3,1.5
"183"," T-Roc",2018,20199,"Manual",12506,"Petrol",145,53.3,1.5
"184"," T-Roc",2020,35099,"Semi-Auto",1376,"Petrol",145,32.5,2
"185"," T-Roc",2018,19299,"Manual",16077,"Petrol",145,53.3,1.5
"186"," T-Roc",2018,17299,"Manual",18533,"Petrol",145,55.4,1
"187"," T-Roc",2018,16499,"Manual",19619,"Petrol",145,44.1,1
"188"," T-Roc",2019,29699,"Automatic",8000,"Petrol",145,32.5,2
"189"," T-Roc",2018,17499,"Manual",16453,"Petrol",145,44.1,1
"190"," T-Roc",2018,25995,"Semi-Auto",5756,"Petrol",150,41.5,2
"191"," T-Roc",2019,18998,"Manual",6067,"Petrol",150,44.1,1
"192"," T-Roc",2018,21490,"Semi-Auto",20500,"Petrol",145,53.3,1.5
"193"," T-Roc",2020,29750,"Semi-Auto",2000,"Diesel",150,49.6,2
"194"," T-Roc",2018,17250,"Manual",7942,"Petrol",150,55.4,1
"195"," T-Roc",2019,19995,"Manual",9739,"Petrol",150,42.2,1.5
"196"," T-Roc",2019,19495,"Manual",5309,"Petrol",150,44.1,1
"197"," T-Roc",2019,19995,"Manual",12828,"Petrol",150,42.2,1.5
"198"," T-Roc",2019,18995,"Manual",13557,"Diesel",145,50.4,1.6
"199"," T-Roc",2019,22795,"Manual",4852,"Diesel",150,50.4,1.6
"200"," T-Roc",2018,20295,"Manual",10467,"Petrol",145,53.3,1.5
"201"," T-Roc",2019,24995,"Semi-Auto",6588,"Diesel",145,49.6,2
"202"," T-Roc",2018,21495,"Manual",9287,"Petrol",145,53.3,1.5
"203"," T-Roc",2018,18281,"Manual",34414,"Petrol",150,53.3,1.5
"204"," T-Roc",2019,21095,"Manual",3500,"Petrol",145,42.2,1.5
"205"," T-Roc",2018,19961,"Manual",26736,"Petrol",145,53.3,1.5
"206"," T-Roc",2018,18232,"Manual",17693,"Petrol",145,55.4,1
"207"," T-Roc",2019,29690,"Automatic",7988,"Petrol",145,32.5,2
"208"," T-Roc",2020,24490,"Manual",2243,"Petrol",145,44.1,1.5
"209"," T-Roc",2020,24250,"Manual",2000,"Diesel",145,50.4,1.6
"210"," T-Roc",2020,26450,"Semi-Auto",2000,"Petrol",145,39.8,1.5
"211"," T-Roc",2019,23995,"Manual",4116,"Petrol",145,42.2,1.5
"212"," T-Roc",2018,17657,"Manual",3579,"Petrol",145,55.4,1
"213"," T-Roc",2019,18500,"Manual",7102,"Diesel",145,50.4,1.6
"214"," T-Roc",2020,26000,"Manual",2000,"Petrol",145,42.2,1.5
"215"," T-Roc",2018,23995,"Semi-Auto",11273,"Petrol",145,51.4,1.5
"216"," T-Roc",2020,22490,"Manual",3555,"Diesel",145,50.4,2
"217"," T-Roc",2019,25196,"Semi-Auto",5221,"Diesel",145,49.6,2
"218"," T-Roc",2020,27995,"Semi-Auto",375,"Petrol",145,39.8,1.5
"219"," T-Roc",2019,20891,"Manual",4489,"Diesel",145,50.4,1.6
"220"," T-Roc",2019,20995,"Manual",21599,"Diesel",145,50.4,1.6
"221"," T-Roc",2018,17742,"Manual",25311,"Petrol",145,53.3,1.5
"222"," T-Roc",2018,20492,"Manual",19235,"Petrol",145,53.3,1.5
"223"," T-Roc",2019,22791,"Automatic",4296,"Diesel",145,50.4,2
"224"," T-Roc",2019,32490,"Automatic",9475,"Petrol",145,32.5,2
"225"," T-Roc",2019,22380,"Manual",9868,"Diesel",145,50.4,1.6
"226"," T-Roc",2018,17941,"Manual",17521,"Petrol",150,55.4,1
"227"," T-Roc",2020,21230,"Manual",1897,"Petrol",145,44.1,1
"228"," T-Roc",2019,19690,"Manual",8350,"Diesel",145,50.4,1.6
"229"," T-Roc",2019,32350,"Automatic",100,"Petrol",145,32.5,2
"230"," T-Roc",2019,20500,"Manual",100,"Diesel",145,50.4,2
"231"," T-Roc",2020,34995,"Semi-Auto",2000,"Petrol",150,32.5,2
"232"," T-Roc",2019,20495,"Manual",5829,"Petrol",145,42.2,1.5
"233"," T-Roc",2018,17000,"Manual",12894,"Petrol",150,44.1,1
"234"," T-Roc",2018,17950,"Manual",18200,"Petrol",150,53.3,1.5
"235"," T-Roc",2020,25680,"Manual",295,"Petrol",145,42.2,1.5
"236"," T-Roc",2020,25500,"Manual",3000,"Petrol",145,44.1,1.5
"237"," T-Roc",2018,19042,"Manual",11713,"Petrol",145,53.3,1.5
"238"," T-Roc",2019,23740,"Automatic",5157,"Diesel",145,50.4,2
"239"," T-Roc",2019,32290,"Automatic",3146,"Petrol",145,32.5,2
"240"," T-Roc",2019,20991,"Manual",2520,"Diesel",145,50.4,1.6
"241"," T-Roc",2019,22836,"Manual",5224,"Diesel",145,50.4,1.6
"242"," T-Roc",2019,23995,"Manual",2819,"Petrol",145,42.2,1.5
"243"," T-Roc",2020,25490,"Manual",1713,"Petrol",145,44.1,1.5
"244"," T-Roc",2019,29236,"Semi-Auto",2339,"Petrol",145,34.5,2
"245"," T-Roc",2019,19892,"Manual",9500,"Petrol",150,42.2,1.5
"246"," T-Roc",2018,18952,"Manual",10977,"Petrol",145,44.1,1
"247"," T-Roc",2018,21412,"Manual",11721,"Petrol",145,53.3,1.5
"248"," T-Roc",2020,27207,"Semi-Auto",796,"Petrol",145,39.8,1.5
"249"," T-Roc",2020,27507,"Semi-Auto",2051,"Petrol",145,39.8,1.5
"250"," T-Roc",2019,22206,"Manual",2344,"Diesel",145,46.3,2
"251"," T-Roc",2019,22026,"Manual",6230,"Diesel",145,46.3,2
"252"," T-Roc",2019,18998,"Manual",11833,"Petrol",150,44.1,1
"253"," T-Roc",2019,22262,"Manual",2030,"Diesel",145,46.3,2
"254"," T-Roc",2019,29100,"Automatic",12400,"Petrol",145,34.5,2
"255"," T-Roc",2019,20990,"Manual",20124,"Diesel",145,50.4,1.6
"256"," T-Roc",2019,25990,"Manual",10986,"Diesel",145,50.4,2
"257"," T-Roc",2018,15752,"Manual",10800,"Petrol",145,55.4,1
"258"," T-Roc",2019,27291,"Semi-Auto",3381,"Diesel",150,49.6,2
"259"," T-Roc",2019,23340,"Manual",4530,"Diesel",150,50.4,2
"260"," T-Roc",2019,20790,"Manual",25,"Diesel",145,50.4,1.6
"261"," T-Roc",2020,26995,"Semi-Auto",6500,"Petrol",145,39.8,1.5
"262"," T-Roc",2018,20291,"Manual",23195,"Petrol",145,53.3,1.5
"263"," T-Roc",2019,20491,"Manual",10,"Diesel",145,50.4,1.6
"264"," T-Roc",2019,21490,"Manual",110,"Diesel",145,50.4,2
"265"," T-Roc",2019,20490,"Manual",10,"Diesel",145,50.4,1.6
"266"," T-Roc",2019,20990,"Manual",111,"Diesel",145,50.4,2
"267"," T-Roc",2019,23990,"Manual",110,"Diesel",145,46.3,2
"268"," T-Roc",2019,31991,"Semi-Auto",9366,"Petrol",145,32.5,2
"269"," T-Roc",2019,20990,"Manual",100,"Diesel",145,50.4,2
"270"," T-Roc",2019,22950,"Manual",2694,"Diesel",145,50.4,2
"271"," T-Roc",2019,23490,"Manual",6222,"Diesel",145,50.4,2
"272"," T-Roc",2019,34991,"Automatic",10824,"Petrol",145,32.5,2
"273"," T-Roc",2019,32998,"Automatic",3404,"Petrol",145,32.5,2
"274"," T-Roc",2020,25790,"Semi-Auto",1208,"Diesel",145,50.4,2
"275"," T-Roc",2019,19090,"Manual",6315,"Diesel",145,50.4,2
"276"," T-Roc",2019,23715,"Semi-Auto",1867,"Petrol",145,39.8,1.5
"277"," T-Roc",2020,24590,"Manual",22462,"Diesel",145,50.4,2
"278"," T-Roc",2020,24999,"Semi-Auto",1165,"Diesel",145,50.4,2
"279"," T-Roc",2019,24549,"Automatic",6737,"Diesel",145,50.4,2
"280"," T-Roc",2019,21229,"Manual",50,"Diesel",145,50.4,2
"281"," T-Roc",2019,21229,"Manual",50,"Diesel",145,50.4,2
"282"," T-Roc",2019,21229,"Manual",50,"Diesel",145,50.4,2
"283"," T-Roc",2020,23590,"Manual",2920,"Diesel",145,50.4,2
"284"," T-Roc",2019,22471,"Manual",5794,"Diesel",145,50.4,2
"285"," T-Roc",2019,22410,"Semi-Auto",5528,"Petrol",145,39.8,1.5
"286"," T-Roc",2019,24491,"Semi-Auto",4121,"Diesel",150,49.6,2
"287"," T-Roc",2019,24291,"Semi-Auto",6830,"Diesel",150,49.6,2
"288"," T-Roc",2019,25491,"Semi-Auto",6770,"Diesel",150,49.6,2
"289"," T-Roc",2018,17499,"Manual",13500,"Petrol",150,44.1,1
"290"," T-Roc",2019,31091,"Semi-Auto",5987,"Petrol",145,32.5,2
"291"," T-Roc",2019,24491,"Semi-Auto",7445,"Diesel",145,50.4,2
"292"," T-Roc",2019,23591,"Semi-Auto",3497,"Petrol",145,39.8,1.5
"293"," T-Roc",2019,21191,"Manual",2987,"Diesel",145,46.3,2
"294"," T-Roc",2019,21691,"Manual",7054,"Diesel",145,46.3,2
"295"," T-Roc",2019,33000,"Semi-Auto",2515,"Petrol",145,32.5,2
"296"," T-Roc",2020,32995,"Semi-Auto",2000,"Petrol",150,32.5,2
"297"," T-Roc",2019,25995,"Semi-Auto",5250,"Petrol",150,39.8,1.5
"298"," T-Roc",2019,25542,"Semi-Auto",2507,"Petrol",145,39.8,1.5
"299"," T-Roc",2019,18995,"Manual",15996,"Petrol",150,44.1,1
"300"," T-Roc",2018,19995,"Manual",6165,"Petrol",150,53.3,1.5
"301"," T-Roc",2018,17995,"Manual",12850,"Petrol",145,55.4,1
"302"," T-Roc",2019,20995,"Manual",12000,"Diesel",150,50.4,1.6
"303"," T-Roc",2019,17495,"Manual",5500,"Diesel",150,50.4,1.6
"304"," T-Roc",2018,17400,"Manual",15239,"Petrol",145,55.4,1
"305"," T-Roc",2020,19541,"Manual",4822,"Diesel",145,51.4,1.6
"306"," T-Roc",2019,21290,"Manual",5599,"Diesel",145,50.4,2
"307"," T-Roc",2019,21990,"Semi-Auto",6992,"Diesel",150,49.6,2
"308"," T-Roc",2019,22940,"Manual",5211,"Diesel",150,50.4,2
"309"," T-Roc",2019,21991,"Manual",3500,"Petrol",145,53.3,1.5
"310"," T-Roc",2019,22990,"Manual",3254,"Diesel",150,50.4,2
"311"," T-Roc",2020,24990,"Manual",2000,"Petrol",145,44.1,1.5
"312"," T-Roc",2018,23750,"Automatic",12188,"Petrol",145,41.5,2
"313"," T-Roc",2018,19190,"Manual",35100,"Petrol",145,53.3,1.5
"314"," T-Roc",2020,26790,"Semi-Auto",3500,"Diesel",145,49.6,2
"315"," T-Roc",2019,32990,"Automatic",5195,"Petrol",145,32.5,2
"316"," T-Roc",2018,18990,"Manual",9922,"Petrol",145,53.3,1.5
"317"," T-Roc",2019,21676,"Manual",3720,"Diesel",145,46.3,2
"318"," T-Roc",2018,18791,"Manual",9000,"Diesel",150,50.4,1.6
"319"," T-Roc",2018,18491,"Manual",15597,"Petrol",150,53.3,1.5
"320"," T-Roc",2020,24490,"Manual",799,"Petrol",145,44.1,1.5
"321"," T-Roc",2018,21092,"Manual",17588,"Petrol",145,53.3,1.5
"322"," T-Roc",2019,20490,"Manual",73,"Diesel",145,50.4,2
"323"," T-Roc",2019,33074,"Semi-Auto",1409,"Petrol",145,32.5,2
"324"," T-Roc",2019,27201,"Semi-Auto",1293,"Petrol",145,39.8,1.5
"325"," T-Roc",2018,21401,"Manual",8000,"Petrol",150,53.3,1.5
"326"," T-Roc",2019,22501,"Manual",4045,"Diesel",145,50.4,2
"327"," T-Roc",2019,23390,"Manual",3500,"Petrol",145,42.2,1.5
"328"," T-Roc",2019,24990,"Automatic",187,"Diesel",145,49.6,2
"329"," T-Roc",2020,25990,"Manual",3500,"Petrol",145,42.2,1.5
"330"," T-Roc",2019,23995,"Semi-Auto",15134,"Petrol",145,39.8,1.5
"331"," T-Roc",2019,22065,"Manual",3886,"Diesel",145,50.4,2
"332"," T-Roc",2019,24750,"Semi-Auto",5497,"Diesel",150,49.6,2
"333"," T-Roc",2019,25000,"Semi-Auto",5812,"Diesel",150,49.6,2
"334"," T-Roc",2019,26500,"Semi-Auto",1986,"Petrol",145,39.8,1.5
"335"," T-Roc",2018,17250,"Manual",12894,"Petrol",145,44.1,1
"336"," T-Roc",2020,35000,"Semi-Auto",2000,"Petrol",150,32.5,2
"337"," T-Roc",2020,25500,"Manual",2000,"Petrol",145,42.2,1.5
"338"," T-Roc",2019,20912,"Manual",6608,"Diesel",145,50.4,1.6
"339"," T-Roc",2018,22500,"Automatic",10424,"Petrol",145,41.5,2
"340"," T-Roc",2020,22495,"Manual",4,"Diesel",145,50.4,1.6
"341"," T-Roc",2018,19998,"Semi-Auto",11941,"Petrol",145,52.3,1.5
"342"," T-Roc",2019,20906,"Manual",2681,"Diesel",145,50.4,1.6
"343"," T-Roc",2019,21995,"Manual",14685,"Diesel",150,50.4,1.6
"344"," T-Roc",2019,30490,"Automatic",1278,"Petrol",145,34.5,2
"345"," T-Roc",2019,32990,"Automatic",8045,"Petrol",145,32.5,2
"346"," T-Roc",2019,22625,"Manual",3744,"Diesel",145,46.3,2
"347"," T-Roc",2019,22791,"Automatic",4064,"Diesel",145,50.4,2
"348"," T-Roc",2019,20500,"Manual",8666,"Diesel",145,50.4,1.6
"349"," T-Roc",2019,23490,"Automatic",5309,"Petrol",145,39.8,1.5
"350"," T-Roc",2019,20225,"Manual",10375,"Diesel",145,50.4,1.6
